"No.","Time","Source","Destination","Protocol","Length","CNameString","Info"
"11925","409.870403","10.10.5.102","10.10.5.1","KRB5","243","vinhnk4","AS-REQ"
"11934","409.876723","10.10.5.102","10.10.5.1","KRB5","243","hiephm4","AS-REQ"
"11943","409.879831","10.10.5.102","10.10.5.1","KRB5","244","hungdm35","AS-REQ"
"11952","409.886078","10.10.5.102","10.10.5.1","KRB5","243","bacnt14","AS-REQ"
"11961","409.890828","10.10.5.102","10.10.5.1","KRB5","243","sonth23","AS-REQ"
"11970","409.895497","10.10.5.102","10.10.5.1","KRB5","244","ducpv14","AS-REQ"
"11979","409.899476","10.10.5.102","10.10.5.1","KRB5","244","quanta2","AS-REQ"
"11988","409.902517","10.10.5.102","10.10.5.1","KRB5","244","hieupq5","AS-REQ"
"11997","409.907662","10.10.5.102","10.10.5.1","KRB5","245","truonghv7","AS-REQ"
"12006","409.912134","10.10.5.102","10.10.5.1","KRB5","244","hunglh9","AS-REQ"
"12015","409.917712","10.10.5.102","10.10.5.1","KRB5","243","quandm8","AS-REQ"
"12024","409.924071","10.10.5.102","10.10.5.1","KRB5","243","lampt8","AS-REQ"
"12033","409.932339","10.10.5.102","10.10.5.1","KRB5","242","hadh12","AS-REQ"
"12042","409.939297","10.10.5.102","10.10.5.1","KRB5","244","huannn7","AS-REQ"
"12051","409.945008","10.10.5.102","10.10.5.1","KRB5","244","minhnb6","AS-REQ"
"12060","409.949456","10.10.5.102","10.10.5.1","KRB5","243","tantd4","AS-REQ"
"12069","409.953895","10.10.5.102","10.10.5.1","KRB5","244","vuongtc","AS-REQ"
"12078","409.958898","10.10.5.102","10.10.5.1","KRB5","242","namdp7","AS-REQ"
"12087","409.965633","10.10.5.102","10.10.5.1","KRB5","243","haunv24","AS-REQ"
"12096","409.971191","10.10.5.102","10.10.5.1","KRB5","244","anhdd56","AS-REQ"
"12105","409.975368","10.10.5.102","10.10.5.1","KRB5","244","kienvt15","AS-REQ"
"12114","409.979051","10.10.5.102","10.10.5.1","KRB5","244","hieund24","AS-REQ"
"12123","409.982817","10.10.5.102","10.10.5.1","KRB5","242","sonpm4","AS-REQ"
"12132","409.987521","10.10.5.102","10.10.5.1","KRB5","242","vudm2","AS-REQ"
"12141","409.991394","10.10.5.102","10.10.5.1","KRB5","245","hiepdt10","AS-REQ"
"12150","410.000584","10.10.5.102","10.10.5.1","KRB5","314","hiepdt10","AS-REQ"
"12159","410.006059","10.10.5.102","10.10.5.1","KRB5","244","thiennc6","AS-REQ"
"12168","410.013775","10.10.5.102","10.10.5.1","KRB5","314","thiennc6","AS-REQ"
"12177","410.027049","10.10.5.102","10.10.5.1","KRB5","243","chaudv1","AS-REQ"
"12186","410.031555","10.10.5.102","10.10.5.1","KRB5","244","giangbt9","AS-REQ"
"12195","410.034832","10.10.5.102","10.10.5.1","KRB5","242","samdv","AS-REQ"
"12204","410.037724","10.10.5.102","10.10.5.1","KRB5","245","quanlh18","AS-REQ"
"12213","410.040610","10.10.5.102","10.10.5.1","KRB5","244","minhdd6","AS-REQ"
"12222","410.045868","10.10.5.102","10.10.5.1","KRB5","244","minhbd2","AS-REQ"
"12231","410.050893","10.10.5.102","10.10.5.1","KRB5","244","thaipm2","AS-REQ"
"12240","410.055511","10.10.5.102","10.10.5.1","KRB5","244","hieudv13","AS-REQ"
"12249","410.059854","10.10.5.102","10.10.5.1","KRB5","244","sangpq2","AS-REQ"
"12258","410.062945","10.10.5.102","10.10.5.1","KRB5","244","anhnk23","AS-REQ"
"12267","410.067339","10.10.5.102","10.10.5.1","KRB5","243","huynv62","AS-REQ"
"12276","410.072211","10.10.5.102","10.10.5.1","KRB5","240","dopb","AS-REQ"
"12285","410.078476","10.10.5.102","10.10.5.1","KRB5","246","hungnv148","AS-REQ"
"12294","410.088336","10.10.5.102","10.10.5.1","KRB5","246","quyetnd10","AS-REQ"
"12303","410.092689","10.10.5.102","10.10.5.1","KRB5","243","thailn7","AS-REQ"
"12312","410.096090","10.10.5.102","10.10.5.1","KRB5","244","hieubt7","AS-REQ"
"12321","410.099736","10.10.5.102","10.10.5.1","KRB5","245","duongdv19","AS-REQ"
"12330","410.103046","10.10.5.102","10.10.5.1","KRB5","244","khiempt","AS-REQ"
"12339","410.110342","10.10.5.102","10.10.5.1","KRB5","245","minhnn17","AS-REQ"
"12348","410.124263","10.10.5.102","10.10.5.1","KRB5","243","huynq87","AS-REQ"
"12357","410.128398","10.10.5.102","10.10.5.1","KRB5","246","phuongnv45","AS-REQ"
"12366","410.131714","10.10.5.102","10.10.5.1","KRB5","243","sangnh8","AS-REQ"
"12375","410.137421","10.10.5.102","10.10.5.1","KRB5","243","thanlt3","AS-REQ"
"12383","410.142308","10.10.5.102","10.10.5.1","KRB5","245","dungnt146","AS-REQ"
"12392","410.150233","10.10.5.102","10.10.5.1","KRB5","244","NAMHH12","AS-REQ"
"12401","410.155140","10.10.5.102","10.10.5.1","KRB5","243","manhnm","AS-REQ"
"12410","410.158294","10.10.5.102","10.10.5.1","KRB5","242","hadt68","AS-REQ"
"12419","410.161218","10.10.5.102","10.10.5.1","KRB5","243","ngoctv9","AS-REQ"
"12428","410.164024","10.10.5.102","10.10.5.1","KRB5","245","quangnh30","AS-REQ"
"12437","410.169484","10.10.5.102","10.10.5.1","KRB5","243","duocpv3","AS-REQ"
"12446","410.175217","10.10.5.102","10.10.5.1","KRB5","242","hoapd9","AS-REQ"
"12455","410.178840","10.10.5.102","10.10.5.1","KRB5","245","dungvt37","AS-REQ"
"12464","410.185182","10.10.5.102","10.10.5.1","KRB5","246","hungnv184","AS-REQ"
"12473","410.189816","10.10.5.102","10.10.5.1","KRB5","244","anhnt640","AS-REQ"
"12482","410.193854","10.10.5.102","10.10.5.1","KRB5","243","longvh8","AS-REQ"
"12491","410.197970","10.10.5.102","10.10.5.1","KRB5","246","HANGNT211","AS-REQ"
"12500","410.201805","10.10.5.102","10.10.5.1","KRB5","245","hoangbh6","AS-REQ"
"12509","410.206233","10.10.5.102","10.10.5.1","KRB5","247","HUONGLTT35","AS-REQ"
"12518","410.209227","10.10.5.102","10.10.5.1","KRB5","244","hant274","AS-REQ"
"12527","410.213695","10.10.5.102","10.10.5.1","KRB5","245","khanhtt16","AS-REQ"
"12536","410.218092","10.10.5.102","10.10.5.1","KRB5","247","phuongnt259","AS-REQ"
"12545","410.221119","10.10.5.102","10.10.5.1","KRB5","243","dunghm2","AS-REQ"
"12554","410.224067","10.10.5.102","10.10.5.1","KRB5","244","phatnd3","AS-REQ"
"12563","410.227741","10.10.5.102","10.10.5.1","KRB5","243","thaipv6","AS-REQ"
"12572","410.231358","10.10.5.102","10.10.5.1","KRB5","244","trongpv5","AS-REQ"
"12581","410.238627","10.10.5.102","10.10.5.1","KRB5","245","sangnv21","AS-REQ"
"12590","410.244924","10.10.5.102","10.10.5.1","KRB5","245","gianghd5","AS-REQ"
"12599","410.250967","10.10.5.102","10.10.5.1","KRB5","243","tund21","AS-REQ"
"12608","410.254033","10.10.5.102","10.10.5.1","KRB5","244","hoangpd3","AS-REQ"
"12617","410.258025","10.10.5.102","10.10.5.1","KRB5","245","nghianh17","AS-REQ"
"12626","410.267264","10.10.5.102","10.10.5.1","KRB5","247","trangpth16","AS-REQ"
"12635","410.271832","10.10.5.102","10.10.5.1","KRB5","243","thangmn","AS-REQ"
"12644","410.276597","10.10.5.102","10.10.5.1","KRB5","247","huonglt143","AS-REQ"
"12653","410.280816","10.10.5.102","10.10.5.1","KRB5","244","oanhpt13","AS-REQ"
"12662","410.284489","10.10.5.102","10.10.5.1","KRB5","245","hanhntm21","AS-REQ"
"12671","410.288142","10.10.5.102","10.10.5.1","KRB5","242","vannk3","AS-REQ"
"12680","410.291442","10.10.5.102","10.10.5.1","KRB5","244","tungnm16","AS-REQ"
"12689","410.297869","10.10.5.102","10.10.5.1","KRB5","247","truongnd33","AS-REQ"
"12698","410.301788","10.10.5.102","10.10.5.1","KRB5","243","hangbd5","AS-REQ"
"12707","410.305774","10.10.5.102","10.10.5.1","KRB5","246","NGANNTK23","AS-REQ"
"12716","410.310365","10.10.5.102","10.10.5.1","KRB5","242","huylm2","AS-REQ"
"12725","410.313231","10.10.5.102","10.10.5.1","KRB5","242","sacns8","AS-REQ"
"12734","410.316529","10.10.5.102","10.10.5.1","KRB5","244","toantc2","AS-REQ"
"12743","410.319603","10.10.5.102","10.10.5.1","KRB5","242","kiendt","AS-REQ"
"12752","410.324058","10.10.5.102","10.10.5.1","KRB5","244","hieunt1","AS-REQ"
"12761","410.329112","10.10.5.102","10.10.5.1","KRB5","244","hieult6","AS-REQ"
"12770","410.333361","10.10.5.102","10.10.5.1","KRB5","244","Ducht10","AS-REQ"
"12779","410.337564","10.10.5.102","10.10.5.1","KRB5","244","minhnq37","AS-REQ"
"12788","410.341279","10.10.5.102","10.10.5.1","KRB5","244","BACHPD1","AS-REQ"
"12797","410.346334","10.10.5.102","10.10.5.1","KRB5","244","quanpm8","AS-REQ"
"12806","410.350629","10.10.5.102","10.10.5.1","KRB5","244","kienpt31","AS-REQ"
"12815","410.354718","10.10.5.102","10.10.5.1","KRB5","245","MINHVT13","AS-REQ"
"12824","410.359416","10.10.5.102","10.10.5.1","KRB5","243","HAHTT19","AS-REQ"
"12833","410.363335","10.10.5.102","10.10.5.1","KRB5","245","NHANDTT2","AS-REQ"
"12842","410.367104","10.10.5.102","10.10.5.1","KRB5","243","hadh14","AS-REQ"
"12851","410.370251","10.10.5.102","10.10.5.1","KRB5","243","Quyethq","AS-REQ"
"12860","410.373538","10.10.5.102","10.10.5.1","KRB5","247","NHUNGNTT30","AS-REQ"
"12869","410.377044","10.10.5.102","10.10.5.1","KRB5","243","thuypt5","AS-REQ"
"12878","410.381234","10.10.5.102","10.10.5.1","KRB5","244","lannlh1","AS-REQ"
"12887","410.384973","10.10.5.102","10.10.5.1","KRB5","244","DUONGPM3","AS-REQ"
"12896","410.389116","10.10.5.102","10.10.5.1","KRB5","245","chiennv3","AS-REQ"
"12905","410.395794","10.10.5.102","10.10.5.1","KRB5","245","HIEUNT590","AS-REQ"
"12914","410.402286","10.10.5.102","10.10.5.1","KRB5","246","hieunt118","AS-REQ"
"12923","410.406689","10.10.5.102","10.10.5.1","KRB5","247","phuongnd41","AS-REQ"
"12932","410.411704","10.10.5.102","10.10.5.1","KRB5","243","binhlb2","AS-REQ"
"12941","410.417622","10.10.5.102","10.10.5.1","KRB5","244","anhcn12","AS-REQ"
"12950","410.422546","10.10.5.102","10.10.5.1","KRB5","245","thangpv25","AS-REQ"
"12959","410.426416","10.10.5.102","10.10.5.1","KRB5","243","ducdm17","AS-REQ"
"12968","410.445027","10.10.5.102","10.10.5.1","KRB5","244","khoinm7","AS-REQ"
"12977","410.450629","10.10.5.102","10.10.5.1","KRB5","243","quoctk1","AS-REQ"
"12986","410.455423","10.10.5.102","10.10.5.1","KRB5","245","trungnd24","AS-REQ"
"12995","410.464568","10.10.5.102","10.10.5.1","KRB5","245","nguyendk","AS-REQ"
"13004","410.468511","10.10.5.102","10.10.5.1","KRB5","245","binhdt21","AS-REQ"
"13013","410.471432","10.10.5.102","10.10.5.1","KRB5","245","tunglt54","AS-REQ"
"13022","410.475068","10.10.5.102","10.10.5.1","KRB5","241","kyph2","AS-REQ"
"13031","410.478358","10.10.5.102","10.10.5.1","KRB5","245","maintn20","AS-REQ"
"13040","410.482375","10.10.5.102","10.10.5.1","KRB5","246","cuongnn21","AS-REQ"
"13049","410.486846","10.10.5.102","10.10.5.1","KRB5","244","longdt2","AS-REQ"
"13058","410.490760","10.10.5.102","10.10.5.1","KRB5","245","PHONGNQ10","AS-REQ"
"13067","410.494659","10.10.5.102","10.10.5.1","KRB5","245","maittt12","AS-REQ"
"13076","410.499187","10.10.5.102","10.10.5.1","KRB5","243","anhtm21","AS-REQ"
"13085","410.502600","10.10.5.102","10.10.5.1","KRB5","244","quantm15","AS-REQ"
"13094","410.505208","10.10.5.102","10.10.5.1","KRB5","242","loilt8","AS-REQ"
"13103","410.508598","10.10.5.102","10.10.5.1","KRB5","243","thuypd1","AS-REQ"
"13112","410.515359","10.10.5.102","10.10.5.1","KRB5","247","thanhnt920","AS-REQ"
"13121","410.536476","10.10.5.102","10.10.5.1","KRB5","246","tuannm467","AS-REQ"
"13130","410.541379","10.10.5.102","10.10.5.1","KRB5","244","thuyht53","AS-REQ"
"13139","410.547243","10.10.5.102","10.10.5.1","KRB5","245","dungnt257","AS-REQ"
"13148","410.550638","10.10.5.102","10.10.5.1","KRB5","243","hanth11","AS-REQ"
"13157","410.554026","10.10.5.102","10.10.5.1","KRB5","245","thaonp33","AS-REQ"
"13166","410.557720","10.10.5.102","10.10.5.1","KRB5","246","nhungnh20","AS-REQ"
"13175","410.561851","10.10.5.102","10.10.5.1","KRB5","244","linhdtn7","AS-REQ"
"13184","410.566479","10.10.5.102","10.10.5.1","KRB5","243","manhlh7","AS-REQ"
"13193","410.571437","10.10.5.102","10.10.5.1","KRB5","245","dungvd11","AS-REQ"
"13202","410.579787","10.10.5.102","10.10.5.1","KRB5","246","is_anhdtk","AS-REQ"
"13210","410.585783","10.10.5.102","10.10.5.1","KRB5","244","thaodt52","AS-REQ"
"13220","410.595234","10.10.5.102","10.10.5.1","KRB5","244","thomvt9","AS-REQ"
"13229","410.600791","10.10.5.102","10.10.5.1","KRB5","242","annvc","AS-REQ"
"13238","410.606013","10.10.5.102","10.10.5.1","KRB5","245","hoantm15","AS-REQ"
"13247","410.611711","10.10.5.102","10.10.5.1","KRB5","245","vietpq15","AS-REQ"
"13256","410.616727","10.10.5.102","10.10.5.1","KRB5","244","anhdv69","AS-REQ"
"13265","410.621512","10.10.5.102","10.10.5.1","KRB5","244","anhdth10","AS-REQ"
"13274","410.625146","10.10.5.102","10.10.5.1","KRB5","245","ngandxp1","AS-REQ"
"13283","410.628503","10.10.5.102","10.10.5.1","KRB5","243","diemdt3","AS-REQ"
"13292","410.632247","10.10.5.102","10.10.5.1","KRB5","245","thaoht29","AS-REQ"
"13301","410.636058","10.10.5.102","10.10.5.1","KRB5","245","quanghv17","AS-REQ"
"13310","410.639218","10.10.5.102","10.10.5.1","KRB5","247","tranglth17","AS-REQ"
"13319","410.642822","10.10.5.102","10.10.5.1","KRB5","243","tuna32","AS-REQ"
"13328","410.646883","10.10.5.102","10.10.5.1","KRB5","249","thanhnh1_vcs","AS-REQ"
"13337","410.651415","10.10.5.102","10.10.5.1","KRB5","246","hoangnm34","AS-REQ"
"13346","410.655968","10.10.5.102","10.10.5.1","KRB5","245","khainq13","AS-REQ"
"13355","410.659254","10.10.5.102","10.10.5.1","KRB5","245","uyennt337","AS-REQ"
"13364","410.665093","10.10.5.102","10.10.5.1","KRB5","244","datnt131","AS-REQ"
"13373","410.672542","10.10.5.102","10.10.5.1","KRB5","245","duongnt85","AS-REQ"
"13382","410.677499","10.10.5.102","10.10.5.1","KRB5","245","dungnt147","AS-REQ"
"13391","410.683523","10.10.5.102","10.10.5.1","KRB5","244","hieunv58","AS-REQ"
"13400","410.689341","10.10.5.102","10.10.5.1","KRB5","242","tunv47","AS-REQ"
"13409","410.693817","10.10.5.102","10.10.5.1","KRB5","243","quynx7","AS-REQ"
"13418","410.698576","10.10.5.102","10.10.5.1","KRB5","243","biennd5","AS-REQ"
"13427","410.702094","10.10.5.102","10.10.5.1","KRB5","244","tuanta59","AS-REQ"
"13436","410.705604","10.10.5.102","10.10.5.1","KRB5","242","thuth2","AS-REQ"
"13445","410.708900","10.10.5.102","10.10.5.1","KRB5","246","cuongtm30","AS-REQ"
"13454","410.711938","10.10.5.102","10.10.5.1","KRB5","244","hientt86","AS-REQ"
"13463","410.716345","10.10.5.102","10.10.5.1","KRB5","240","kyvx","AS-REQ"
"13472","410.720834","10.10.5.102","10.10.5.1","KRB5","245","hoangvd7","AS-REQ"
"13481","410.725175","10.10.5.102","10.10.5.1","KRB5","243","huyvq19","AS-REQ"
"13490","410.728976","10.10.5.102","10.10.5.1","KRB5","243","haidv35","AS-REQ"
"13499","410.732668","10.10.5.102","10.10.5.1","KRB5","243","anhdn41","AS-REQ"
"13508","410.738732","10.10.5.102","10.10.5.1","KRB5","242","anhddq","AS-REQ"
"13517","410.745450","10.10.5.102","10.10.5.1","KRB5","245","hoantq11","AS-REQ"
"13526","410.754373","10.10.5.102","10.10.5.1","KRB5","245","anhnh141","AS-REQ"
"13535","410.759780","10.10.5.102","10.10.5.1","KRB5","244","thinhpd1","AS-REQ"
"13544","410.762920","10.10.5.102","10.10.5.1","KRB5","244","tuandv30","AS-REQ"
"13553","410.768929","10.10.5.102","10.10.5.1","KRB5","243","vinhld1","AS-REQ"
"13562","410.774595","10.10.5.102","10.10.5.1","KRB5","244","annt632","AS-REQ"
"13571","410.780522","10.10.5.102","10.10.5.1","KRB5","244","khailv1","AS-REQ"
"13580","410.784380","10.10.5.102","10.10.5.1","KRB5","242","lypk1","AS-REQ"
"13589","410.787613","10.10.5.102","10.10.5.1","KRB5","245","thanhbt5","AS-REQ"
"13598","410.791557","10.10.5.102","10.10.5.1","KRB5","242","duydm6","AS-REQ"
"13607","410.796099","10.10.5.102","10.10.5.1","KRB5","242","dannvq","AS-REQ"
"13616","410.799769","10.10.5.102","10.10.5.1","KRB5","244","ngannb1","AS-REQ"
"13625","410.803583","10.10.5.102","10.10.5.1","KRB5","241","hamx2","AS-REQ"
"13634","410.811168","10.10.5.102","10.10.5.1","KRB5","245","nhandt19","AS-REQ"
"13643","410.814319","10.10.5.102","10.10.5.1","KRB5","242","nadtt","AS-REQ"
"13652","410.817117","10.10.5.102","10.10.5.1","KRB5","242","hadth2","AS-REQ"
"13661","410.820844","10.10.5.102","10.10.5.1","KRB5","248","phuonglth10","AS-REQ"
"13670","410.824950","10.10.5.102","10.10.5.1","KRB5","246","hoangnh57","AS-REQ"
"13679","410.830796","10.10.5.102","10.10.5.1","KRB5","245","thanhvc4","AS-REQ"
"13688","410.834427","10.10.5.102","10.10.5.1","KRB5","247","thanhnt158","AS-REQ"
"13697","410.840422","10.10.5.102","10.10.5.1","KRB5","246","truongnh17","AS-REQ"
"13706","410.844642","10.10.5.102","10.10.5.1","KRB5","246","cuonglm15","AS-REQ"
"13715","410.848585","10.10.5.102","10.10.5.1","KRB5","246","thanhtt63","AS-REQ"
"13724","410.852720","10.10.5.102","10.10.5.1","KRB5","245","dungnm12","AS-REQ"
"13733","410.856256","10.10.5.102","10.10.5.1","KRB5","244","phongpk","AS-REQ"
"13742","410.860249","10.10.5.102","10.10.5.1","KRB5","244","hunghd4","AS-REQ"
"13751","410.864468","10.10.5.102","10.10.5.1","KRB5","244","minhtn18","AS-REQ"
"13760","410.867780","10.10.5.102","10.10.5.1","KRB5","245","ngocht15","AS-REQ"
"13769","410.873640","10.10.5.102","10.10.5.1","KRB5","246","truongtn14","AS-REQ"
"13778","410.882194","10.10.5.102","10.10.5.1","KRB5","244","dungptt7","AS-REQ"
"13787","410.886800","10.10.5.102","10.10.5.1","KRB5","243","tunt62","AS-REQ"
"13796","410.890183","10.10.5.102","10.10.5.1","KRB5","245","anhnn102","AS-REQ"
"13805","410.894131","10.10.5.102","10.10.5.1","KRB5","245","anhntm29","AS-REQ"
"13813","410.901723","10.10.5.102","10.10.5.1","KRB5","242","daoht3","AS-REQ"
"13822","410.907295","10.10.5.102","10.10.5.1","KRB5","244","hoaitt16","AS-REQ"
"13831","410.911686","10.10.5.102","10.10.5.1","KRB5","245","trietnm1","AS-REQ"
"13840","410.916263","10.10.5.102","10.10.5.1","KRB5","245","cuongdm30","AS-REQ"
"13849","410.919846","10.10.5.102","10.10.5.1","KRB5","242","phudq1","AS-REQ"
"13858","410.922921","10.10.5.102","10.10.5.1","KRB5","246","huongnc10","AS-REQ"
"13867","410.927668","10.10.5.102","10.10.5.1","KRB5","244","tramnn5","AS-REQ"
"13876","410.937494","10.10.5.102","10.10.5.1","KRB5","245","chungntt","AS-REQ"
"13885","410.941359","10.10.5.102","10.10.5.1","KRB5","245","thuynt271","AS-REQ"
"13894","410.945305","10.10.5.102","10.10.5.1","KRB5","246","thanhpt38","AS-REQ"
"13903","410.948178","10.10.5.102","10.10.5.1","KRB5","246","giangptt3","AS-REQ"
"13912","410.952520","10.10.5.102","10.10.5.1","KRB5","245","duongbt4","AS-REQ"
"13921","410.956269","10.10.5.102","10.10.5.1","KRB5","245","thinhnh10","AS-REQ"
"13930","410.960009","10.10.5.102","10.10.5.1","KRB5","245","minhnt79","AS-REQ"
"13939","410.965403","10.10.5.102","10.10.5.1","KRB5","246","trungld16","AS-REQ"
"13948","410.969615","10.10.5.102","10.10.5.1","KRB5","243","tuhv10","AS-REQ"
"13957","410.973543","10.10.5.102","10.10.5.1","KRB5","242","haltn5","AS-REQ"
"13966","410.977246","10.10.5.102","10.10.5.1","KRB5","241","saomt","AS-REQ"
"13975","410.980832","10.10.5.102","10.10.5.1","KRB5","246","thanhht39","AS-REQ"
"13984","410.985686","10.10.5.102","10.10.5.1","KRB5","246","longnt100","AS-REQ"
"13993","410.990103","10.10.5.102","10.10.5.1","KRB5","244","hoann98","AS-REQ"
"14002","410.994359","10.10.5.102","10.10.5.1","KRB5","244","thunh12","AS-REQ"
"14011","410.999787","10.10.5.102","10.10.5.1","KRB5","245","huongnnq","AS-REQ"
"14020","411.003284","10.10.5.102","10.10.5.1","KRB5","244","hoanx12","AS-REQ"
"14029","411.007915","10.10.5.102","10.10.5.1","KRB5","244","hungth15","AS-REQ"
"14038","411.011789","10.10.5.102","10.10.5.1","KRB5","245","hongnt96","AS-REQ"
"14047","411.015367","10.10.5.102","10.10.5.1","KRB5","244","anhntl51","AS-REQ"
"14056","411.021664","10.10.5.102","10.10.5.1","KRB5","245","kiennd14","AS-REQ"
"14065","411.028158","10.10.5.102","10.10.5.1","KRB5","246","hanhnth21","AS-REQ"
"14074","411.034911","10.10.5.102","10.10.5.1","KRB5","245","duongnh22","AS-REQ"
"14083","411.047019","10.10.5.102","10.10.5.1","KRB5","244","loanltp","AS-REQ"
"14091","411.054776","10.10.5.102","10.10.5.1","KRB5","244","linhtt69","AS-REQ"
"14100","411.061042","10.10.5.102","10.10.5.1","KRB5","245","thaolt45","AS-REQ"
"14109","411.068160","10.10.5.102","10.10.5.1","KRB5","245","hongtt49","AS-REQ"
"14118","411.071923","10.10.5.102","10.10.5.1","KRB5","243","dangtv9","AS-REQ"
"14127","411.075110","10.10.5.102","10.10.5.1","KRB5","242","vudt14","AS-REQ"
"14136","411.078544","10.10.5.102","10.10.5.1","KRB5","245","chinhnv25","AS-REQ"
"14145","411.081845","10.10.5.102","10.10.5.1","KRB5","244","linhvh5","AS-REQ"
"14154","411.084784","10.10.5.102","10.10.5.1","KRB5","243","sonnt84","AS-REQ"
"14163","411.089571","10.10.5.102","10.10.5.1","KRB5","244","lanlth3","AS-REQ"
"14172","411.092782","10.10.5.102","10.10.5.1","KRB5","243","hoantn7","AS-REQ"
